BHK,Area,Is_Resale,Location,Status,Floor,Furnishing,Facing,Bathrooms,Balcony,Price
2.0,624.0,0,thane,Ready to Move,3 out of 7,Unfurnished,East,2.0,2.0,7520000.0
1.0,510.0,1,thane,Ready to Move,2 out of 2,Unfurnished,East,1.0,1.0,2800000.0
1.0,450.0,1,thane,Ready to Move,15 out of 30,Unfurnished,East,2.0,2.0,7700000.0
2.0,740.0,1,thane,Ready to Move,5 out of 14,Semi-Furnished,East,2.0,1.0,11900000.0
1.0,445.0,0,thane,Ready to Move,5 out of 16,Unfurnished,East,1.0,1.0,5000000.0
2.0,686.0,1,thane,Ready to Move,3 out of 28,Semi-Furnished,North,2.0,1.0,9000000.0
1.0,410.0,1,thane,Ready to Move,1 out of 4,Semi-Furnished,North - East,1.0,3.0,4430000.0
2.0,759.0,1,thane,Ready to Move,10 out of 30,Unfurnished,East,2.0,1.0,16500000.0
2.0,735.0,1,thane,Ready to Move,5 out of 28,Unfurnished,North - East,2.0,1.0,9700000.0
1.0,410.0,1,thane,Ready to Move,3 out of 7,Semi-Furnished,East,1.0,2.0,5000000.0
2.0,688.0,0,thane,Ready to Move,3 out of 20,Unfurnished,East,2.0,3.0,4290000.0
2.0,680.0,1,thane,Ready to Move,6 out of 13,Unfurnished,South,2.0,1.0,10000000.0
3.0,1073.0,0,thane,Ready to Move,2 out of 29,Unfurnished,North - East,3.0,1.0,23600000.0
3.0,1356.0,0,thane,Ready to Move,20 out of 35,Unfurnished,East,3.0,1.0,34500000.0
1.0,483.0,1,thane,Ready to Move,13 out of 31,Unfurnished,East,2.0,1.0,5600000.0
1.0,453.0,0,thane,Ready to Move,3 out of 23,Unfurnished,East,2.0,1.0,4550000.0
1.0,500.0,1,thane,Ready to Move,4 out of 4,Furnished,North,2.0,1.0,6000000.0
4.0,1704.0,1,thane,Ready to Move,18 out of 30,Unfurnished,East,4.0,1.0,49000000.0
2.0,587.0,0,thane,Ready to Move,10 out of 20,Unfurnished,East,2.0,2.0,5800000.0
2.0,699.0,1,thane,Ready to Move,2 out of 19,Semi-Furnished,North,2.0,2.0,10000000.0
3.0,1350.0,1,thane,Ready to Move,16 out of 23,Unfurnished,West,3.0,3.0,27500000.0
2.0,763.0,0,thane,Ready to Move,3 out of 30,Unfurnished,North - East,2.0,1.0,16500000.0
3.0,1140.0,0,thane,Ready to Move,8 out of 8,Unfurnished,East,3.0,2.0,25000000.0
1.0,415.0,1,thane,Ready to Move,4 out of 7,Unfurnished,East,1.0,2.0,5300000.0
3.0,1140.0,1,thane,Ready to Move,11 out of 26,Semi-Furnished,North - East,3.0,1.0,30000000.0
2.0,735.0,1,thane,Ready to Move,12 out of 30,Unfurnished,East,2.0,1.0,13200000.0
3.0,894.0,1,thane,Ready to Move,10 out of 14,Semi-Furnished,East,3.0,1.0,13000000.0
2.0,640.0,1,thane,Ready to Move,14 out of 32,Unfurnished,East,2.0,1.0,10600000.0
2.0,640.0,1,thane,Ready to Move,15 out of 32,Unfurnished,East,2.0,1.0,10700000.0
2.0,758.0,0,thane,Ready to Move,6 out of 29,Unfurnished,East,2.0,2.0,17100000.0
3.0,1153.0,0,thane,Ready to Move,28 out of 32,Unfurnished,East,3.0,3.0,22900000.0
2.0,671.0,0,thane,Ready to Move,3 out of 20,Unfurnished,East,1.0,3.0,4150000.0
4.0,1170.0,1,thane,Ready to Move,12 out of 12,Furnished,East,3.0,2.0,12500000.0
2.0,600.0,1,thane,Ready to Move,12 out of 21,Unfurnished,East,2.0,1.0,8300000.0
2.0,650.0,1,thane,Ready to Move,23 out of 32,Unfurnished,East,2.0,1.0,11299999.999999998
2.0,706.0,1,thane,Ready to Move,26 out of 27,Unfurnished,East,2.0,2.0,15000000.0
2.0,612.0,0,thane,Ready to Move,3 out of 23,Unfurnished,East,2.0,1.0,6490000.000000001
2.0,730.0,1,thane,Ready to Move,9 out of 19,Semi-Furnished,West,2.0,1.0,11000000.0
1.0,510.0,1,thane,Ready to Move,6 out of 18,Unfurnished,East,1.0,1.0,3400000.0
3.0,961.0,1,thane,Ready to Move,4 out of 24,Unfurnished,South,2.0,1.0,7250000.0
3.0,1228.0,0,thane,Ready to Move,21 out of 26,Semi-Furnished,South -West,3.0,1.0,36600000.0
1.0,480.0,1,thane,Ready to Move,7 out of 8,Unfurnished,East,2.0,1.0,3500000.0
1.0,435.0,1,thane,Ready to Move,10 out of 30,Unfurnished,East,1.0,3.0,7500000.0
4.0,1359.0,1,thane,Ready to Move,12 out of 19,Unfurnished,East,3.0,1.0,33000000.0
2.0,640.0,1,thane,Ready to Move,15 out of 30,Unfurnished,East,2.0,3.0,13000000.0
1.0,495.0,1,thane,Ready to Move,10 out of 31,Unfurnished,East,2.0,1.0,5800000.0
4.0,1650.0,1,thane,Ready to Move,1 out of 29,Furnished,East,4.0,1.0,29500000.0
2.0,650.0,1,thane,Ready to Move,24 out of 32,Unfurnished,East,2.0,1.0,11500000.0
3.0,870.0,0,thane,Ready to Move,4 out of 7,Furnished,North,2.0,1.0,13000000.0
2.0,830.0,0,thane,Ready to Move,16 out of 22,Semi-Furnished,East,2.0,2.0,19000000.0
2.0,763.0,1,thane,Ready to Move,19 out of 24,Unfurnished,South -West,2.0,1.0,6100000.0
1.0,454.0,0,thane,Ready to Move,14 out of 23,Semi-Furnished,East,1.0,1.0,4300000.0
2.0,721.0,0,thane,Ready to Move,2 out of 29,Unfurnished,North - East,2.0,1.0,15900000.0
2.0,575.0,1,thane,Ready to Move,7 out of 19,Semi-Furnished,East,2.0,3.0,6300000.0
2.0,790.0,0,thane,Ready to Move,4 out of 30,Unfurnished,East,2.0,2.0,19300000.0
2.0,700.0,1,thane,Ready to Move,1 out of 14,Unfurnished,East,2.0,2.0,7000000.0
2.0,790.0,0,thane,Ready to Move,19 out of 30,Unfurnished,East,2.0,2.0,19900000.0
2.0,850.0,1,thane,Ready to Move,3 out of 7,Semi-Furnished,North,2.0,2.0,7200000.0
3.0,1203.0,0,thane,Ready to Move,23 out of 35,Semi-Furnished,South -West,3.0,1.0,35900000.0
1.0,510.0,1,thane,Ready to Move,17 out of 18,Unfurnished,East,2.0,1.0,3700000.0
4.0,1350.0,1,thane,Ready to Move,16 out of 27,Unfurnished,East,3.0,1.0,32000000.0
1.0,379.0,0,thane,Ready to Move,2 out of 21,Semi-Furnished,East,2.0,3.0,6000000.0
1.0,495.0,1,thane,Ready to Move,7 out of 31,Unfurnished,East,1.0,1.0,5500000.0
3.0,1012.0,1,thane,Ready to Move,10 out of 18,Semi-Furnished,East,3.0,1.0,26000000.0
2.0,526.0,0,thane,Ready to Move,20 out of 26,Unfurnished,North - West,2.0,1.0,4900000.0
2.0,692.0,1,thane,Ready to Move,2 out of 7,Unfurnished,South - East,2.0,2.0,3100000.0
3.0,879.0,1,thane,Ready to Move,14 out of 19,Unfurnished,East,2.0,1.0,15600000.0
1.0,400.0,1,thane,Ready to Move,7 out of 12,Unfurnished,North,1.0,1.0,4700000.0
2.0,640.0,1,thane,Ready to Move,9 out of 16,Unfurnished,North,2.0,4.0,8500000.0
6.0,2024.0,1,thane,Ready to Move,8 out of 18,Semi-Furnished,East,6.0,2.0,52000000.0
2.0,630.0,1,thane,Ready to Move,12 out of 18,Semi-Furnished,North - East,2.0,3.0,18000000.0
1.0,435.0,1,thane,Ready to Move,8 out of 16,Unfurnished,North,2.0,3.0,6300000.0
2.0,511.0,1,thane,Ready to Move,5 out of 7,Unfurnished,North - East,1.0,1.0,3900000.0
2.0,702.0,0,thane,Ready to Move,2 out of 29,Unfurnished,North - East,2.0,1.0,15400000.0
1.0,440.0,1,thane,Ready to Move,5 out of 14,Semi-Furnished,East,1.0,3.0,4500000.0
2.0,663.0,1,thane,Ready to Move,18 out of 20,Unfurnished,East,2.0,1.0,9500000.0
1.0,475.0,1,thane,Ready to Move,2 out of 4,Furnished,East,1.0,2.0,3000000.0
2.0,650.0,1,thane,Ready to Move,20 out of 32,Unfurnished,East,2.0,1.0,11000000.0
3.0,1190.0,1,thane,Ready to Move,5 out of 12,Unfurnished,East,3.0,1.0,30000000.0
2.0,790.0,0,thane,Ready to Move,18 out of 30,Unfurnished,East,2.0,2.0,21100000.0
1.0,450.0,0,thane,Ready to Move,2 out of 7,Unfurnished,East,1.0,2.0,3600000.0
3.0,1090.0,1,thane,Ready to Move,10 out of 28,Unfurnished,North,3.0,2.0,19500000.0
1.0,400.0,1,thane,Ready to Move,5 out of 7,Unfurnished,East,1.0,1.0,5000000.0
1.0,438.0,1,thane,Ready to Move,6 out of 16,Semi-Furnished,East,1.0,3.0,6300000.0
2.0,833.0,1,thane,Ready to Move,19 out of 23,Unfurnished,North - East,2.0,2.0,15500000.0
3.0,900.0,1,thane,Ready to Move,5 out of 7,Unfurnished,North,3.0,1.0,10000000.0
3.0,1300.0,1,thane,Ready to Move,14 out of 29,Semi-Furnished,East,3.0,3.0,30000000.0
2.0,720.0,1,thane,Ready to Move,1 out of 2,Unfurnished,South,1.0,2.0,14500000.0
2.0,640.0,1,thane,Ready to Move,17 out of 32,Unfurnished,East,2.0,1.0,10900000.0
1.0,450.0,1,thane,Ready to Move,13 out of 27,Semi-Furnished,North - East,2.0,1.0,7600000.0
2.0,650.0,1,thane,Ready to Move,21 out of 32,Unfurnished,East,2.0,1.0,11100000.000000002
1.0,510.0,1,thane,Ready to Move,8 out of 18,Unfurnished,East,2.0,1.0,3500000.0
2.0,810.0,0,thane,Ready to Move,29 out of 30,Unfurnished,East,2.0,2.0,22000000.0
2.0,800.0,0,thane,Ready to Move,2 out of 29,Unfurnished,North - East,2.0,1.0,17600000.0
2.0,670.0,1,thane,Ready to Move,5 out of 7,Semi-Furnished,East,2.0,1.0,8500000.0
1.0,500.0,0,thane,Ready to Move,2 out of 24,Unfurnished,East,2.0,1.0,4950000.0
2.0,804.0,0,thane,Ready to Move,2 out of 29,Unfurnished,North - East,2.0,1.0,17700000.0
2.0,672.0,1,thane,Ready to Move,22 out of 29,Unfurnished,North - East,2.0,1.0,10900000.0
1.0,500.0,1,thane,Ready to Move,1 out of 1,Unfurnished,East,1.0,1.0,3500000.0
2.0,650.0,1,thane,Ready to Move,23 out of 32,Unfurnished,East,2.0,1.0,11399999.999999998
2.0,620.0,0,thane,Ready to Move,23 out of 24,Unfurnished,East,2.0,2.0,6500000.0
3.0,1260.0,0,thane,Ready to Move,11 out of 32,Unfurnished,East,3.0,3.0,27900000.0
2.0,630.0,0,thane,Ready to Move,21 out of 24,Semi-Furnished,North - East,2.0,1.0,7100000.0
3.0,900.0,1,thane,Ready to Move,8 out of 20,Semi-Furnished,East,3.0,2.0,16500000.0
1.0,455.0,1,thane,Ready to Move,16 out of 30,Semi-Furnished,East,2.0,1.0,13000000.0
2.0,263.0,1,thane,Ready to Move,25 out of 36,Unfurnished,East,1.0,1.0,5600000.0
4.0,2200.0,1,thane,Ready to Move,7 out of 26,Unfurnished,East,5.0,1.0,70400000.0
2.0,758.0,0,thane,Ready to Move,9 out of 29,Unfurnished,East,2.0,2.0,18500000.0
1.0,540.0,1,thane,Ready to Move,7 out of 12,Semi-Furnished,North,1.0,2.0,5200000.0
2.0,758.0,0,thane,Ready to Move,11 out of 29,Unfurnished,East,2.0,2.0,18000000.0
2.0,640.0,1,thane,Ready to Move,16 out of 32,Unfurnished,East,2.0,1.0,10800000.0
3.0,679.0,0,thane,Ready to Move,7 out of 18,Furnished,East,2.0,1.0,6800000.0
1.0,475.0,1,thane,Ready to Move,5 out of 13,Furnished,East,1.0,1.0,5300000.0
2.0,701.0,0,thane,Ready to Move,14 out of 30,Unfurnished,East,2.0,1.0,11500000.0
3.0,838.0,1,thane,Ready to Move,4 out of 18,Unfurnished,East,3.0,1.0,7400000.0
2.0,680.0,1,thane,Ready to Move,7 out of 7,Semi-Furnished,East,2.0,3.0,6500000.0
4.0,1820.0,1,thane,Ready to Move,14 out of 27,Semi-Furnished,East,4.0,1.0,42500000.0
2.0,722.0,1,thane,Ready to Move,14 out of 28,Semi-Furnished,East,2.0,1.0,21500000.0
2.0,660.0,1,thane,Ready to Move,3 out of 5,Unfurnished,North - East,2.0,2.0,3500000.0
2.0,755.0,1,thane,Ready to Move,2 out of 7,Semi-Furnished,East,2.0,1.0,15600000.0
2.0,668.0,1,thane,Ready to Move,10 out of 18,Unfurnished,North - East,2.0,1.0,9000000.0
2.0,700.0,0,thane,Ready to Move,1 out of 5,Unfurnished,North,2.0,2.0,7000000.0
2.0,700.0,1,thane,Ready to Move,1 out of 7,Semi-Furnished,South - East,2.0,1.0,11000000.0
3.0,800.0,1,thane,Ready to Move,10 out of 19,Unfurnished,North - East,2.0,1.0,6200000.0
3.0,856.0,1,thane,Ready to Move,6 out of 21,Semi-Furnished,East,3.0,2.0,8900000.0
3.0,1120.0,1,thane,Ready to Move,14 out of 22,Furnished,North - East,3.0,2.0,19000000.0
1.0,475.0,1,thane,Ready to Move,16 out of 16,Semi-Furnished,South - East,1.0,3.0,3300000.0
1.0,400.0,1,thane,Ready to Move,8 out of 16,Unfurnished,East,2.0,1.0,5800000.0
1.0,590.0,1,thane,Ready to Move,2 out of 4,Unfurnished,East,1.0,2.0,3500000.0
2.0,636.0,1,thane,Ready to Move,20 out of 26,Unfurnished,East,2.0,2.0,11299999.999999998
1.0,400.0,1,thane,Ready to Move,3 out of 4,Unfurnished,East,1.0,1.0,2500000.0
2.0,771.0,1,thane,Ready to Move,10 out of 31,Semi-Furnished,North - East,2.0,1.0,9600000.0
3.0,1000.0,1,thane,Ready to Move,10 out of 30,Semi-Furnished,North - East,3.0,3.0,15500000.0
2.0,636.0,1,thane,Ready to Move,14 out of 26,Unfurnished,East,2.0,2.0,11100000.000000002
1.0,475.0,1,thane,Ready to Move,5 out of 8,Semi-Furnished,East,2.0,1.0,6800000.0
2.0,700.0,1,thane,Ready to Move,4 out of 17,Semi-Furnished,West,2.0,2.0,7300000.0
2.0,666.0,1,thane,Ready to Move,4 out of 12,Unfurnished,East,2.0,1.0,10000000.0
2.0,650.0,1,thane,Ready to Move,12 out of 24,Unfurnished,East,2.0,1.0,12200000.0
1.0,460.0,1,thane,Ready to Move,1 out of 5,Semi-Furnished,East,2.0,2.0,2800000.0
2.0,756.0,0,thane,Ready to Move,20 out of 29,Furnished,East,2.0,1.0,9500000.0
3.0,1500.0,1,thane,Ready to Move,6 out of 30,Furnished,East,3.0,2.0,24000000.0
1.0,450.0,1,thane,Ready to Move,4 out of 16,Unfurnished,East,2.0,2.0,3950000.0
1.0,550.0,1,thane,Ready to Move,2 out of 6,Unfurnished,North - East,1.0,2.0,3500000.0
1.0,455.0,1,thane,Ready to Move,3 out of 7,Unfurnished,East,1.0,1.0,4200000.0
2.0,635.0,0,thane,Ready to Move,21 out of 45,Unfurnished,North - East,2.0,1.0,15300000.0
1.0,450.0,0,thane,Ready to Move,4 out of 7,Unfurnished,East,2.0,1.0,2380000.0
1.0,464.0,1,thane,Ready to Move,5 out of 6,Furnished,North - East,1.0,2.0,7600000.0
2.0,767.0,0,thane,Ready to Move,9 out of 29,Unfurnished,North - East,2.0,3.0,17000000.0
2.0,650.0,1,thane,Ready to Move,19 out of 26,Unfurnished,East,2.0,2.0,10900000.0
2.0,636.0,1,thane,Ready to Move,13 out of 26,Unfurnished,East,2.0,2.0,11000000.0
2.0,600.0,1,thane,Ready to Move,6 out of 27,Unfurnished,East,2.0,2.0,11000000.0
2.0,640.0,1,thane,Ready to Move,2 out of 8,Unfurnished,North,2.0,2.0,6200000.0
1.0,388.0,0,thane,Ready to Move,12 out of 12,Unfurnished,North - East,1.0,2.0,2050000.0
1.0,435.0,1,thane,Ready to Move,6 out of 7,Unfurnished,West,2.0,1.0,3900000.0
1.0,410.0,1,thane,Ready to Move,8 out of 16,Unfurnished,East,2.0,3.0,6000000.0
3.0,1290.0,1,thane,Ready to Move,15 out of 27,Semi-Furnished,North - East,3.0,1.0,21000000.0
2.0,636.0,1,thane,Ready to Move,16 out of 26,Unfurnished,East,2.0,2.0,11200000.000000002
1.0,475.0,1,thane,Ready to Move,13 out of 20,Unfurnished,East,2.0,3.0,4200000.0
3.0,1250.0,1,thane,Ready to Move,15 out of 27,Semi-Furnished,North - East,3.0,3.0,24500000.0
1.0,450.0,1,thane,Ready to Move,9 out of 22,Semi-Furnished,West,2.0,2.0,4900000.0
2.0,670.0,1,thane,Ready to Move,5 out of 8,Unfurnished,East,2.0,1.0,6000000.0
2.0,640.0,1,thane,Ready to Move,3 out of 11,Semi-Furnished,East,2.0,2.0,3000000.0
3.0,1260.0,1,thane,Ready to Move,10 out of 31,Unfurnished,East,3.0,1.0,25000000.0
1.0,430.0,1,thane,Ready to Move,4 out of 15,Semi-Furnished,East,2.0,1.0,7200000.0
1.0,450.0,1,thane,Ready to Move,4 out of 7,Semi-Furnished,East,2.0,2.0,5000000.0
1.0,450.0,1,thane,Ready to Move,2 out of 7,Furnished,West,2.0,4.0,8200000.0
3.0,1115.0,1,thane,Ready to Move,18 out of 28,Semi-Furnished,North - East,3.0,1.0,21000000.0
3.0,950.0,1,thane,Ready to Move,15 out of 30,Unfurnished,North,3.0,4.0,16000000.0
2.0,700.0,1,thane,Ready to Move,8 out of 19,Semi-Furnished,West,2.0,2.0,11500000.0
3.0,902.0,1,thane,Ready to Move,14 out of 28,Unfurnished,East,2.0,1.0,23000000.0
2.0,640.0,0,thane,Ready to Move,2 out of 12,Unfurnished,North - East,2.0,3.0,6500000.0
3.0,880.0,1,thane,Ready to Move,10 out of 20,Semi-Furnished,East,2.0,1.0,16500000.0
3.0,1250.0,1,thane,Ready to Move,8 out of 27,Unfurnished,East,3.0,1.0,27500000.0
2.0,700.0,1,thane,Ready to Move,6 out of 16,Unfurnished,West,2.0,2.0,6000000.0
3.0,900.0,1,thane,Ready to Move,25 out of 27,Unfurnished,West,2.0,1.0,20000000.0
2.0,680.0,1,thane,Ready to Move,8 out of 30,Semi-Furnished,East,2.0,1.0,11200000.000000002
3.0,1163.0,0,thane,Ready to Move,15 out of 18,Unfurnished,East,3.0,1.0,25400000.0
2.0,752.0,1,thane,Ready to Move,7 out of 11,Semi-Furnished,North - East,2.0,4.0,10700000.0
3.0,1015.0,1,thane,Ready to Move,11 out of 28,Semi-Furnished,North,3.0,1.0,28500000.0
1.0,425.0,1,thane,Ready to Move,9 out of 16,Unfurnished,East,2.0,2.0,6500000.0
1.0,350.0,1,thane,Ready to Move,5 out of 9,Unfurnished,North - East,1.0,1.0,4700000.0
1.0,580.0,0,thane,Ready to Move,8 out of 15,Unfurnished,East,1.0,1.0,13600000.000000002
1.0,486.0,1,thane,Ready to Move,6 out of 7,Unfurnished,East,1.0,1.0,6000000.0
2.0,675.0,1,thane,Ready to Move,5 out of 7,Unfurnished,East,2.0,3.0,2500000.0
1.0,405.0,0,thane,Ready to Move,3 out of 12,Unfurnished,East,2.0,1.0,2350000.0
3.0,838.0,1,thane,Ready to Move,15 out of 18,Unfurnished,East,3.0,1.0,7500000.0
1.0,450.0,1,thane,Ready to Move,7 out of 22,Unfurnished,North - East,2.0,1.0,5500000.0
3.0,999.0,1,thane,Ready to Move,18 out of 27,Semi-Furnished,North - East,3.0,3.0,24500000.0
2.0,586.0,1,thane,Ready to Move,13 out of 20,Unfurnished,East,2.0,1.0,10000000.0
1.0,470.0,1,thane,Ready to Move,3 out of 7,Semi-Furnished,North,2.0,2.0,7500000.0
2.0,800.0,1,thane,Ready to Move,1 out of 13,Unfurnished,East,2.0,1.0,14000000.0
3.0,1246.0,1,thane,Ready to Move,9 out of 19,Unfurnished,East,3.0,1.0,28500000.0
1.0,443.0,1,thane,Ready to Move,1 out of 4,Unfurnished,East,2.0,3.0,1850000.0
1.0,580.0,0,thane,Ready to Move,9 out of 15,Unfurnished,East,1.0,1.0,13500000.0
2.0,586.0,1,thane,Ready to Move,15 out of 20,Unfurnished,East,2.0,1.0,10200000.0
4.0,1518.0,0,thane,Ready to Move,18 out of 30,Unfurnished,East,4.0,1.0,35000000.0
4.0,2020.0,1,thane,Ready to Move,13 out of 30,Semi-Furnished,East,5.0,1.0,57900000.0
1.0,455.0,1,thane,Ready to Move,28 out of 30,Furnished,East,2.0,2.0,7500000.0
3.0,1070.0,1,thane,Ready to Move,12 out of 27,Unfurnished,East,3.0,1.0,27500000.0
2.0,585.0,0,thane,Ready to Move,5 out of 12,Unfurnished,East,2.0,2.0,3329999.9999999995
3.0,826.0,1,thane,Ready to Move,6 out of 27,Unfurnished,West,3.0,1.0,14500000.0
1.0,444.0,0,thane,Ready to Move,4 out of 7,Unfurnished,East,2.0,4.0,5350000.0
1.0,495.0,1,thane,Ready to Move,5 out of 8,Unfurnished,North - East,1.0,1.0,3000000.0
2.0,711.0,1,thane,Ready to Move,25 out of 32,Semi-Furnished,East,2.0,1.0,12200000.0
3.0,1042.0,0,thane,Ready to Move,16 out of 18,Unfurnished,East,3.0,1.0,21000000.0
2.0,611.0,0,thane,Ready to Move,9 out of 20,Unfurnished,East,2.0,3.0,8900000.0
2.0,779.0,1,thane,Ready to Move,13 out of 26,Unfurnished,North - East,2.0,1.0,14100000.0
2.0,525.0,1,thane,Ready to Move,15 out of 16,Unfurnished,North - East,2.0,2.0,7600000.0
2.0,636.0,1,thane,Ready to Move,11 out of 26,Unfurnished,East,2.0,2.0,10800000.0
1.0,610.0,1,thane,Ready to Move,1 out of 5,Unfurnished,North,2.0,3.0,5100000.0
2.0,720.0,1,thane,Ready to Move,11 out of 28,Unfurnished,North - East,2.0,3.0,14000000.0
1.0,440.0,0,thane,Ready to Move,9 out of 16,Unfurnished,East,2.0,3.0,3400000.0
2.0,700.0,0,thane,Ready to Move,5 out of 16,Unfurnished,East,2.0,3.0,5400000.0
2.0,851.0,1,thane,Ready to Move,27 out of 36,Semi-Furnished,East,2.0,2.0,14000000.0
2.0,650.0,1,thane,Ready to Move,2 out of 7,Furnished,East,2.0,3.0,4100000.0
2.0,530.0,0,thane,Ready to Move,5 out of 12,Unfurnished,East,2.0,2.0,3290000.0
2.0,400.0,0,thane,Ready to Move,4 out of 7,Unfurnished,East,1.0,2.0,4500000.0
2.0,710.0,1,thane,Ready to Move,2 out of 12,Unfurnished,North,2.0,1.0,7500000.0
4.0,1380.0,1,thane,Ready to Move,12 out of 31,Unfurnished,East,3.0,1.0,28000000.0
2.0,800.0,1,thane,Ready to Move,5 out of 14,Semi-Furnished,East,2.0,2.0,12000000.0
2.0,851.0,1,thane,Ready to Move,32 out of 36,Semi-Furnished,East,2.0,2.0,14300000.0
4.0,1520.0,1,thane,Ready to Move,14 out of 27,Unfurnished,East,4.0,1.0,24000000.0
3.0,927.0,1,thane,Ready to Move,5 out of 27,Unfurnished,East,3.0,3.0,20000000.0
2.0,690.0,1,thane,Ready to Move,16 out of 22,Semi-Furnished,North,2.0,1.0,16000000.0
1.0,500.0,1,thane,Ready to Move,3 out of 11,Unfurnished,North,2.0,1.0,4800000.0
2.0,685.0,0,thane,Ready to Move,25 out of 29,Semi-Furnished,North - West,2.0,1.0,20700000.0
3.0,1190.0,1,thane,Ready to Move,9 out of 20,Unfurnished,East,3.0,1.0,20500000.0
1.0,456.0,1,thane,Ready to Move,8 out of 19,Semi-Furnished,East,1.0,1.0,5900000.0
1.0,550.0,1,thane,Ready to Move,4 out of 12,Furnished,North - East,1.0,1.0,8500000.0
1.0,503.0,0,thane,Ready to Move,4 out of 7,Unfurnished,East,2.0,2.0,6050000.0
3.0,1073.0,1,thane,Ready to Move,12 out of 22,Unfurnished,East,3.0,1.0,22500000.0
3.0,1116.0,1,thane,Ready to Move,5 out of 7,Unfurnished,East,3.0,1.0,18500000.0
2.0,650.0,1,thane,Ready to Move,9 out of 18,Semi-Furnished,West,2.0,2.0,7300000.0
2.0,800.0,1,thane,Ready to Move,1 out of 12,Semi-Furnished,North,2.0,1.0,16500000.0
2.0,691.0,1,thane,Ready to Move,10 out of 26,Unfurnished,North - East,2.0,1.0,12100000.0
2.0,700.0,0,thane,Ready to Move,7 out of 7,Unfurnished,East,2.0,2.0,26500000.0
1.0,565.0,1,thane,Ready to Move,4 out of 4,Unfurnished,North,1.0,2.0,6500000.0
2.0,700.0,1,thane,Ready to Move,13 out of 42,Semi-Furnished,North - East,2.0,1.0,11299999.999999998
3.0,1000.0,0,thane,Ready to Move,4 out of 7,Unfurnished,East,3.0,3.0,24900000.000000004
